Supplementary Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) Mean responses; spontaneous firing rate has been subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AgOr1 ,AgOr2  ,AgOr3  ,AgOr4  ,AgOr5  ,AgOr6  ,AgOr8  ,AgOr9  ,AgOr10  ,AgOr11  ,AgOr12  ,AgOr13  ,AgOr15  ,AgOr16  ,AgOr18  ,AgOr20  ,AgOr21  ,AgOr23  ,AgOr25  ,AgOr26  ,AgOr27  ,AgOr30  ,AgOr31  ,AgOr32  ,AgOr33  ,AgOr35  ,AgOr38  ,AgOr39  ,AgOr41  ,AgOr42  ,AgOr43  ,AgOr44  ,AgOr45  ,AgOr46  ,AgOr48  ,AgOr50  ,AgOr53  ,AgOr54  ,AgOr56  ,AgOr57  ,AgOr59  ,AgOr61  ,AgOr63  ,AgOr64  ,AgOr65  ,AgOr66  ,AgOr67  ,AgOr73  ,AgOr75  ,AgOr76  
2-acetylthiophene,17,39,-7,36,6,236,-8,40,60,102,179,165,233,31,169,104,142,-2,6,19,18,64,-1,0,-13,-4,192,32,-7,-12,-14,-31,-12,61,3,69,20,-5,84,182,-4,9,5,-11,-2,-2,-4,-1,-1,-7
thiazole,6,26,-5,36,53,25,-10,30,14,23,67,72,36,1,104,46,60,0,-7,4,55,14,0,-11,-22,-12,202,21,-14,-7,-25,-24,-1,40,19,6,62,-10,161,131,-10,10,0,-4,-1,-4,-4,-4,-7,-14
4-methylthiazole,4,42,-3,31,23,61,-12,75,58,46,180,84,96,7,225,107,92,-2,-9,18,31,26,1,-1,-27,-4,166,29,-11,-16,-26,-16,-3,50,5,86,47,-9,154,197,-10,11,0,-14,5,-6,-8,-4,-7,-14
2-acetylthiazole,-6,1,2,30,-1,220,-10,37,26,56,177,63,150,15,173,68,83,9,-12,13,12,14,5,6,-22,-10,51,39,-16,-10,-22,-7,-10,69,2,95,8,-21,58,109,-4,8,4,-2,7,-15,-6,-6,-7,-8
2-ethoxythiazole,-8,0,-9,36,4,46,-10,148,34,41,174,-4,33,0,197,84,94,0,-9,16,20,2,8,27,-16,-3,220,38,-13,-10,-19,-24,-11,66,7,76,-2,-10,69,147,-13,1,-1,-10,6,-7,0,-3,33,-8
2-iso-butyl-thiazole,-6,-5,0,28,10,22,-7,70,3,34,66,-5,-1,1,83,139,78,-3,-11,33,37,21,17,15,-15,4,228,48,-15,-9,-14,-18,-13,103,7,134,0,-17,56,127,-2,4,7,10,17,2,-2,-10,111,-5
"4,5-dimethylthiazole",-1,15,-5,25,-6,48,-13,134,43,67,139,198,243,32,260,182,74,7,-11,16,13,53,2,1,-29,0,171,32,-11,-20,-22,-20,-11,44,0,82,57,-17,139,158,-6,12,0,2,13,-11,-5,-8,-9,-9
"2,4,5-trimethylthiazole",-10,-1,0,25,-6,96,-10,182,15,39,107,67,174,34,265,207,106,9,-11,4,7,-1,2,15,-22,0,-5,11,-8,-18,-23,-20,-13,62,-6,171,-3,-15,47,76,-6,10,2,-4,44,-16,-7,-8,3,-13
2-acetylpyridine,-5,31,1,28,0,247,-7,42,48,112,110,50,216,14,228,55,90,-1,-6,9,17,11,0,8,-12,-4,52,19,-10,-6,-17,-29,-11,68,8,58,3,-9,47,99,-5,5,0,-4,0,-2,-6,-2,4,-8
methanol,2,3,4,-1,1,0,7,-3,-1,3,0,0,0,-1,4,1,-3,0,-4,-1,0,0,3,8,-7,-4,1,0,-9,-8,1,-6,0,2,-1,-1,-1,-12,2,0,1,4,-3,2,5,-4,-1,3,-6,3
ethanol,2,3,3,-1,4,0,5,4,1,2,1,1,2,-1,2,5,3,0,5,0,2,-3,3,2,-6,-4,-3,-1,-4,-6,-3,-3,1,13,-1,3,1,-5,1,9,-1,-1,-2,3,-2,-3,2,0,-1,3
1-butanol,130,5,2,55,76,9,-10,8,0,16,66,36,20,5,75,48,74,2,1,16,24,39,14,-3,-19,-6,117,45,-23,-15,-28,-17,-12,52,26,42,58,-22,40,165,2,13,17,11,10,-13,-8,-2,-3,0
1-pentanol,180,5,-13,97,44,18,-4,21,-3,40,166,34,35,25,135,126,91,2,11,31,25,53,18,9,-26,-2,227,97,-33,-24,-34,-26,-8,75,50,79,40,-31,148,202,2,17,17,22,21,-22,-10,-8,-13,-15
1-hexanol,12,35,-20,127,-6,2,105,29,9,56,147,-4,21,25,146,108,48,5,13,33,34,73,20,25,-31,-18,215,74,-21,-16,-40,-40,-16,54,115,79,45,-31,180,181,-10,30,23,12,18,-29,-14,-6,-7,-7
1-dodecanol,1,3,5,-1,2,1,0,2,1,5,0,-2,0,0,0,-2,0,1,0,3,1,0,0,2,3,-3,3,-1,0,1,0,5,0,4,0,4,7,0,-4,2,2,2,-5,0,1,1,0,0,2,-1
3-methyl-1-butanol,140,3,-8,35,2,9,-8,19,7,70,151,31,10,15,76,118,128,2,-1,22,21,42,11,22,-17,11,162,71,-16,-3,-34,-27,-9,184,62,86,97,-20,158,251,-6,26,6,22,12,-2,-6,-9,9,0
